Name,Fingerprint,Flags,IP,OrPort,ObservedBW,GuardClients,DirClients,Uptime,Longitude,Latitude)
seele,000A10D43011EA4928A35F610405F92B4433B4DC,M,104.53.221.159,9001,1.301223,,de:8|mx:8|pl:8|ru:8|sa:8|tr:8|vn:8,3513709,-121.8846,37.3512
tor4novgnet,000C351F86033654A82D9FD6AC3B178F44E236BE,MGEH,5.196.8.113,9001,9.889205,,de:208|bd:8|fi:8|in:8|it:8|jp:8|pk:8,713163,2.3387,48.8582
CalyxInstitute14,0011BD2485AD45D984EC4159C88FC066E5E3300E,ME,162.247.74.201,443,0.0,,,22,-97.822,37.751
freedomrunner,0011F7E36734D661E83ACD2D7653A3796A913D77,MG,198.98.61.11,9001,6.489088,,,7,-74.1774,40.6063
skylarkRelay,00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,MGH,95.111.230.178,443,8.881404,,de:4040|us:456|fi:240|in:104|nl:80|gb:72|fr:64|ca:56|ir:56|cz:48|es:48|id:40|jp:40|lt:40|ua:40|au:32|tr:32|bd:24|br:24|co:24|it:24|kr:24|pl:24|rs:24|ru:24|vn:24|ch:16|dk:16|do:16|hr:16|ie:16|jo:16|lu:16|ma:16|mx:16|no:16|nz:16|ph:16|pk:16|ro:16|se:16|sg:16|th:16|al:8|am:8|ao:8|ap:8|ar:8|at:8|ba:8|be:8|bg:8|bo:8|cl:8|cy:8|dz:8|ee:8|eu:8|ga:8|ge:8|gh:8|gr:8|hn:8|hu:8|il:8|is:8|jm:8|kh:8|kz:8|la:8|lb:8|lv:8|mk:8|mm:8|ng:8|np:8|om:8|pe:8|pr:8|pt:8|py:8|qa:8|sk:8|sn:8|tn:8|tw:8|ve:8|za:8,1768292,11.1617,49.405
StarAppsMobley,00283B5564E3072DCDDAB31D6EF622DD49BF524F,MG,195.15.242.99,9001,9.288704,,,64807,6.1385,46.1953
ItGlows,0031F551925DBAE0A6EA4B0834421DCD2BBB8306,M,68.55.44.8,443,0.11331999999999999,,,324175,-85.6206,42.9469
ForPrivacyNET,0036FA36AB435FD5D0F640626636867EBFB72C68,MGEH,185.220.101.33,10133,21.869078000000002,,de:648|us:16|fi:8|gb:8|id:8|ir:8|ph:8|pl:8|ru:8|th:8|uy:8|vn:8,1566009,13.1207,52.6171
relayon0170,003A08F1ADC002D24979C68AA5A33369C04D9C7F,ME,185.220.101.170,10170,13.722218000000002,,,4561361,13.1207,52.6171
dc6jgk11d,0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1,M,51.15.75.120,444,12.81986,,de:19712|fi:912|us:312|in:232|jp:72|it:64|ru:64|fr:48|lt:48|nl:48|gb:40|ch:32|ro:32|ua:32|ca:24|ie:24|il:24|ir:24|br:16|hk:16|se:16|vn:16|za:16|ae:8|ap:8|ar:8|at:8|au:8|by:8|cl:8|co:8|cy:8|cz:8|dz:8|ec:8|es:8|gr:8|hu:8|is:8|kr:8|kz:8|lk:8|ly:8|ma:8|md:8|mk:8|mx:8|my:8|ng:8|no:8|np:8|pe:8|pk:8|pl:8|pt:8|rs:8|sg:8|sk:8|th:8|tr:8|tw:8|uz:8,324116,2.3387,48.8582
NTH22R5,004F9A0513C84E72054CEB555DB51EEEF319546D,ME,192.42.116.174,9004,13.00045,,,712816,4.8995,52.3824
NTH33R5,0055DB090820D7C08999EC1598FD6EA6365861AD,ME,192.42.116.185,9004,16.625871,,,712820,4.8995,52.3824
Athena,005ED97213F725867E422B8DC0443361BBB24E3C,MGH,104.244.79.75,443,6.1170990000000005,,de:2640|us:224|fi:176|nl:88|fr:72|ca:56|gb:56|in:56|es:48|id:48|ir:48|ch:32|it:32|my:32|ru:32|tr:32|au:24|bg:24|br:24|no:24|pl:24|bd:16|dz:16|il:16|jo:16|jp:16|lt:16|mx:16|ph:16|pk:16|rs:16|th:16|ua:16|vn:16|ae:8|am:8|ap:8|ar:8|at:8|az:8|ba:8|be:8|bh:8|bo:8|by:8|cl:8|co:8|cz:8|ee:8|et:8|eu:8|gh:8|gr:8|iq:8|is:8|kz:8|lu:8|ma:8|md:8|mk:8|ng:8|nz:8|pe:8|pf:8|pt:8|py:8|ro:8|se:8|tt:8|tw:8|tz:8|ve:8|za:8|zm:8,1685677,6.1294,49.6113
405torb,005F829917C13B46D2FF5DC3228DE442C67B4D50,MH,174.67.28.137,9050,3.092404,,br:8|de:8|fi:8|gb:8|il:8|mk:8|pl:8|se:8|ua:8|us:8|vn:8,1362760,-97.5357,35.3802
eisbaer,0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9,ME,109.70.100.70,9002,14.295888999999999,,,1749732,16.3801,48.2048
right2,00654113959763F653C92AFF078A7EC3A7BBD2D9,MH,174.128.250.165,80,7.250361,,us:24|de:16|gb:16|in:16|ua:16|at:8|br:8|ca:8|fi:8|id:8|ie:8|il:8|it:8|jo:8|lt:8|mk:8|nl:8|ph:8|se:8|sr:8|vn:8,732932,-104.9957,39.7501
kaitornode,006973C241C130B2ADAF229113FF0A434113FD5F,MH,221.145.183.106,9001,5.3324549999999995,,au:8|br:8|de:8|fi:8|gb:8|gr:8|in:8|kr:8|lu:8|nl:8|ua:8|us:8,3315678,127.2916,36.5916
Quintex13,0077BCBA7244DB3E6A5ED2746E86170066684887,MEH,199.249.230.103,443,8.702753000000001,,de:8|in:8|np:8|ro:8|tr:8,910851,-97.822,37.751
venenata,0077DDDDB54954214CFEE0FE8AA85DDC857E7C8A,M,71.19.144.65,9001,8.477557000000001,,,1826771,-121.9543,37.353
jollyjack,007F178ECF496433D38B0D151B70981DF55E2B8A,MH,45.249.101.87,9090,7.158977,,co:8|de:8|fi:8|ru:8,1560928,103.8014,1.3673
INSRelay42at8443,008196DC449482C73CFA9712445223917F760921,M,140.78.100.42,8443,7.71197,,,9928834,14.285,48.3074
HandsofGoldSpa,0082C49022C0811D45620D408E068835E2BABA71,M,176.118.193.106,443,0.142512,,,4532444,16.3801,48.2048
NTH5R7,008F10F88397C11C062217EAC35D782F03BDF4C7,ME,192.42.116.195,9006,16.360003,,,712819,4.8995,52.3824
