Name,Fingerprint,Flags,IP,OrPort,ObservedBW,GuardClients,DirClients,Uptime,Longitude,Latitude)
seele,000A10D43011EA4928A35F610405F92B4433B4DC,M,67.161.31.147,9001,0.126864,,de:8|ua:8|us:8,258062,-122.0832,37.3897
Unnamed,000C1F7CD2FEA073B911DC94A1600EC2F117DF0B,M,174.127.217.73,55554,6.818324,,ru:48|us:48|de:32|nl:16|ar:8|br:8|ca:8|fr:8|ie:8|im:8|jp:8|tw:8|ua:8,208920,-97.822,37.751
CalyxInstitute14,0011BD2485AD45D984EC4159C88FC066E5E3300E,MGE,162.247.72.201,443,9.540632,id:880|ru:536|ua:528|in:296|th:224|tw:184|kr:128|hk:88|us:72|jp:56|lv:56|pl:56|vn:56|ir:48|mx:48|bg:40|cl:32|hu:32|my:32|pe:32|br:24|ca:24|de:24|fr:24|pk:24|bd:16|gb:16|it:16|nl:16|ph:16|ro:16|rs:16|ve:16|??:8|ae:8|al:8|am:8|ar:8|at:8|au:8|az:8|ba:8|be:8|bo:8|by:8|ch:8|cm:8|cn:8|co:8|cz:8|do:8|dz:8|ec:8|ee:8|es:8|ge:8|gh:8|gr:8|gt:8|hn:8|hr:8|il:8|iq:8|jo:8|ke:8|kg:8|kh:8|kw:8|lk:8|lt:8|ly:8|ma:8|md:8|ml:8|mo:8|ng:8|np:8|om:8|pa:8|ps:8|pt:8|qa:8|sc:8|sd:8|se:8|sg:8|si:8|sk:8|sv:8|tj:8|tl:8|tn:8|tr:8|tz:8|ug:8|uy:8|za:8|zw:8,ru:16|ua:16|us:8|uy:8,1238654,-97.822,37.751
Neldoreth,001524DD403D729F08F7E5D77813EF12756CFA8D,MG,185.13.39.197,443,4.445184,,,59,2.3387,48.8582
metroholografix,002121252467538C9DA1BC2378997E64629814F6,M,46.4.253.194,443,0.496346,,nl:112|us:104|fr:24|de:16|ru:16|ua:16|ar:8|at:8|au:8|be:8|br:8|ca:8|ch:8|cl:8|cz:8|dz:8|es:8|gb:8|hu:8|ie:8|il:8|it:8|jp:8|ma:8|mx:8|ph:8|pk:8|pl:8|pr:8|pt:8|th:8|tr:8|tw:8|vn:8,15130558,6.7705,50.5597
dj2bee,002692BFEBEA999C3107B59F720D7F9A4C29819F,M,87.118.116.227,9001,0.815962,,,17234635,9.491,51.2993
torbogen,0041E0150B0A307506C2863EFC9F2B7E3A523B36,M,91.97.30.212,9001,1.284891,,,68130,8.0448,52.8472
havingtrouble,0042691809E528B258C9FE012A1C46859163F142,MG,159.203.42.254,9001,7.349247999999999,,de:6976|us:2448|ru:1344|fr:1256|ua:864|nl:688|gb:480|ca:320|jp:176|es:168|br:160|au:152|it:152|md:144|pl:144|in:128|ae:104|mx:88|se:80|ch:72|fi:72|at:64|pt:64|ar:56|cz:56|id:56|ir:56|be:48|ie:48|kr:48|tw:48|co:40|dk:40|gr:40|my:40|bg:32|hk:32|hu:32|il:32|no:32|ph:32|ro:32|sg:32|vn:32|iq:24|lu:24|lv:24|mz:24|nz:24|pe:24|pk:24|za:24|??:16|by:16|ci:16|cl:16|cr:16|dz:16|ec:16|et:16|hr:16|jm:16|kz:16|lt:16|pa:16|py:16|qa:16|rs:16|sa:16|sy:16|th:16|tr:16|ve:16|ad:8|ag:8|al:8|am:8|az:8|ba:8|bd:8|bf:8|bh:8|bw:8|cm:8|cn:8|cu:8|cy:8|do:8|ee:8|ge:8|gp:8|hn:8|is:8|jo:8|ke:8|kg:8|kh:8|kw:8|la:8|lb:8|lk:8|lr:8|ma:8|mm:8|mn:8|mu:8|na:8|ng:8|ni:8|np:8|ps:8|sd:8|si:8|sk:8|sn:8|sr:8|sv:8|tn:8|uy:8|ye:8|zw:8,59,-79.3623,43.6547
helga,0059D92942DB3B84E52EB4D87E9F7B195CF4D005,MH,88.99.216.194,9001,0.520561,,nl:168|us:120|fr:32|de:16|ar:8|au:8|be:8|bg:8|br:8|ca:8|ch:8|dk:8|do:8|eg:8|es:8|gb:8|gr:8|hu:8|id:8|ie:8|it:8|jp:8|kw:8|ma:8|mx:8|ph:8|pl:8|pt:8|ru:8|sa:8|th:8|tr:8|ua:8,10475136,9.9132,53.5665
RaspOnionRouting,00658821FC260ABA498232A37024E9E9D120B0A8,M,31.18.218.232,9001,0.42158999999999996,,fr:72|nl:64|us:32|ua:16|ar:8|az:8|ca:8|de:8|es:8|gb:8|it:8|jp:8|mx:8|nz:8|pe:8|pl:8|rs:8|ru:8|se:8|ve:8|za:8,324066,11.4774,53.8923
