Name,Fingerprint,Flags,IP,OrPort,ObservedBW,GuardClients,DirClients,Uptime,Longitude,Latitude)
PutoElQueLee293884,000C1F7CD2FEA073B911DC94A1600EC2F117DF0B,M,174.127.217.73,55554,7.065600000000001,,us:4104|de:1112|cy:512|gb:32|ru:24|nl:16|ae:8|au:8|bd:8|be:8|ca:8|cn:8|co:8|eg:8|es:8|fr:8|gt:8|hn:8|ie:8|in:8|ir:8|jp:8|kw:8|mx:8|no:8|pe:8|sa:8|sk:8|tr:8|zm:8,0,-97.822,37.751
CalyxInstitute14,0011BD2485AD45D984EC4159C88FC066E5E3300E,ME,162.247.74.201,443,12.02936,us:96|pl:40|de:32|jp:32|ca:24|gb:24|ar:8|at:8|au:8|ba:8|be:8|bg:8|bo:8|br:8|by:8|ch:8|cl:8|co:8|cz:8|dj:8|ee:8|es:8|fj:8|fr:8|gr:8|gt:8|hn:8|hr:8|hu:8|id:8|il:8|in:8|ir:8|it:8|jo:8|kw:8|lk:8|mx:8|my:8|nl:8|no:8|np:8|nz:8|ph:8|pk:8|pt:8|ro:8|rs:8|ru:8|si:8|th:8|tn:8|tr:8|tw:8|ua:8|ve:8|vn:8|xk:8,de:8|ru:8,16111296,-97.822,37.751
Neldoreth,001524DD403D729F08F7E5D77813EF12756CFA8D,MGH,185.13.39.197,443,5.493952,,us:15376|ve:4352|id:3024|de:2344|ru:1896|ua:784|cy:584|nl:568|th:544|in:480|fr:440|gb:368|tr:264|br:232|ca:224|mx:176|cz:168|au:160|kr:160|vn:152|ir:136|it:136|ae:128|se:120|es:112|jp:88|pl:88|??:80|tw:80|ie:72|md:72|il:64|sg:64|ar:56|ch:56|fi:56|my:56|ro:56|za:56|at:48|be:48|bd:40|co:40|ph:40|pk:40|gr:32|hk:32|lv:32|no:32|pe:32|bg:24|cl:24|cn:24|dk:24|dz:24|hu:24|kz:24|lu:24|ma:24|al:16|am:16|do:16|ee:16|eg:16|ge:16|hr:16|is:16|ke:16|lt:16|pt:16|sd:16|tn:16|af:8|az:8|ba:8|bj:8|bo:8|bw:8|by:8|cd:8|cg:8|ci:8|cm:8|cr:8|cu:8|dj:8|ec:8|et:8|fj:8|gg:8|gh:8|gn:8|gp:8|gt:8|hn:8|iq:8|jo:8|kh:8|kw:8|lb:8|li:8|lk:8|me:8|mk:8|mm:8|mn:8|mo:8|mt:8|mu:8|ng:8|ni:8|np:8|nz:8|om:8|pa:8|pg:8|pr:8|ps:8|py:8|rs:8|sc:8|si:8|sk:8|sn:8|so:8|sv:8|sy:8|tt:8|tz:8|ug:8|uy:8|uz:8|xk:8|ye:8|zw:8,1137630,2.3387,48.8582
rotor25,00342C0E155D4542E55391788B2D779F14578DEB,MGH,188.24.121.147,9001,4.013053,,us:160|ru:88|de:64|fr:32|es:24|ie:24|ir:24|jp:24|md:24|ua:24|au:16|ca:16|gb:16|it:16|nl:16|se:16|??:8|ar:8|at:8|ba:8|be:8|bn:8|br:8|by:8|ch:8|cl:8|cy:8|cz:8|dz:8|fi:8|gt:8|hr:8|hu:8|id:8|il:8|in:8|jo:8|kr:8|lu:8|lv:8|mk:8|mr:8|mx:8|ng:8|nz:8|pe:8|pl:8|pt:8|re:8|ro:8|sa:8|sg:8|sk:8|th:8|tr:8|tt:8,3081650,23.5943,46.7657
xX0seamus0Xx,003BFA1B6CC5CBEFD5D0082F8FC9AF2A8868A8FB,MGH,188.214.132.49,9001,6.9200680000000006,,,1728034,24.0,55.4167
VSIFskylab,003D78825E0B9609EECFF5E4E0529717772E53C7,MGEH,104.218.63.73,443,7.074375,,de:16,1304111,-79.3716,43.6319
torbogen,0041E0150B0A307506C2863EFC9F2B7E3A523B36,M,91.97.31.205,9001,1.220987,,,66040,8.0448,52.8472
helga,0059D92942DB3B84E52EB4D87E9F7B195CF4D005,MH,88.99.216.194,9001,0.42887200000000003,,us:4016|de:1136|cy:464|gb:32|au:24|in:24|ae:8|bd:8|be:8|br:8|ca:8|cn:8|dk:8|es:8|fr:8|gr:8|hr:8|id:8|ie:8|il:8|ir:8|it:8|jp:8|kh:8|lb:8|mm:8|mt:8|mx:8|ng:8|nl:8|no:8|pe:8|ph:8|pk:8|pl:8|pt:8|ro:8|ru:8|sa:8|tr:8|vn:8|za:8,8905839,9.9132,53.5665
7F92MNVGEL,007034A301700BC98248EB6BC924FC9BDFB0CF48,MGEH,188.165.61.244,443,11.617848,,,3067372,2.3387,48.8582
Quintex13,0077BCBA7244DB3E6A5ED2746E86170066684887,ME,199.249.223.62,443,6.29058,,us:4072|de:1104|cy:456|in:32|au:24|gb:24|ca:16|at:8|bd:8|eg:8|es:8|fj:8|fr:8|id:8|ir:8|it:8|kh:8|mx:8|no:8|ph:8|pk:8|ru:8|se:8|sg:8|si:8|vn:8|za:8,522487,-97.822,37.751
